구절,감정
잠언 1:1 다윗의 아들 이스라엘 왕 솔로몬의 잠언이라,"지혜추구, 겸손"
잠언 1:2 이는 지혜와 훈계를 알게 하며 명철의 말씀을 깨닫게 하며,"지혜추구, 무기력함, 희망"
"잠언 1:3 지혜롭게, 공의롭게, 정의롭게, 정직하게 행할 일에 대하여 훈계를 받게 하며","지혜추구, 후회, 희망"
잠언 1:4 어리석은 자를 슬기롭게 하며 젊은 자에게 지식과 근신함을 주기 위한 것이니,"무기력함, 좌절, 지혜추구"
잠언 1:5 지혜 있는 자는 듣고 학식이 더할 것이요 명철한 자는 지략을 얻을 것이라,"희망, 지혜추구, 겸손"
잠언 1:6 잠언과 비유와 지혜 있는 자의 말과 그 오묘한 말을 깨달으리라,"지혜추구, 희망"
잠언 1:7 여호와를 경외하는 것이 지식의 근본이거늘 미련한 자는 지혜와 훈계를 멸시하느니라,"교만, 겸손, 지혜추구, 두려움"
잠언 1:8 내 아들아 네 아비의 훈계를 들으며 네 어미의 법을 떠나지 말라,"외로움, 후회, 겸손"
잠언 1:9 이는 네 머리의 아름다운 관이요 네 목의 금 사슬이니라,"기쁨, 감사, 희망"
잠언 1:10 내 아들아 악한 자가 너를 꾈지라도 따르지 말라,"불안, 두려움, 유혹"
잠언 1:11-12 그들이 네게 말하기를 우리와 함께 가자... 스올 같이 그들을 산채로 삼키며,"분노, 두려움, 불안"
잠언 1:13-14 우리가 온갖 보화를 얻으며... 함께 전대 하나만 두자 할지라도,"탐욕, 불안, 유혹"
잠언 1:15 내 아들아 그들과 함께 길에 다니지 말라 네 발을 금하여 그 길을 밟지 말라,"불안, 두려움, 지혜추구"
잠언 1:16 대저 그 발은 악으로 달려가며 피를 흘리는 데 빠름이니라,"분노, 두려움, 후회"
잠언 1:17 새가 보는 데서 그물을 치면 헛일이겠거늘,"지혜추구, 무기력함"
잠언 1:18 그들이 가만히 엎드림은 자기의 피를 흘릴 뿐이요 숨어 기다림은 자기의 생명을 해할 뿐이니,"분노, 후회, 두려움"
잠언 1:19 이익을 탐하는 모든 자의 길은 다 이러하여 자기의 생명을 잃게 하느니라,"탐욕, 후회, 두려움"
잠언 1:20 지혜가 길거리에서 부르며 광장에서 소리를 높이며,"무기력함, 외로움, 희망"
잠언 1:21 시끄러운 길목에서 소리를 지르며 성문 어귀와 성중에서 그 소리를 발하여 이르되,"무기력함, 좌절, 희망"
잠언 1:22 너희 어리석은 자들은 어리석음을 좋아하며 거만한 자들은 거만을 기뻐하며 미련한 자들은 지식을 미워하니 어느 때까지 하겠느냐,"교만, 무기력함, 좌절"
잠언 1:23 나의 책망을 듣고 돌이키라 보라 내가 나의 영을 너희에게 부어 주며 내 말을 너희에게 보이리라,"후회, 희망, 겸손"
잠언 1:24 내가 불렀으나 너희가 듣기 싫어하였고 내가 손을 폈으나 돌아보는 자가 없었고,"교만, 후회, 외로움"
잠언 1:25 도리어 나의 모든 교훈을 멸시하며 나의 책망을 받지 아니하였은즉,"교만, 후회, 분노"
잠언 1:26 너희가 재앙을 만날 때에 내가 웃을 것이며 너희에게 두려움이 임할 때에 내가 비웃으리라,"두려움, 후회, 불안"
잠언 1:27 너희의 두려움이 광풍 같이 임하겠고 너희의 재앙이 폭풍 같이 이르겠고 너희에게 근심과 슬픔이 임하리니,"두려움, 슬픔, 불안"
잠언 1:28 그 때에 너희가 나를 부르리라 그래도 내가 대답하지 아니하겠고 부지런히 나를 찾으리라 그래도 나를 만나지 못하리니,"외로움, 후회, 두려움, 좌절"
잠언 1:29 대저 너희가 지식을 미워하며 여호와 경외하기를 즐거워하지 아니하며,"교만, 후회, 무기력함"
잠언 1:30 나의 교훈을 받지 아니하고 나의 모든 책망을 업신여겼음이니라,"교만, 후회, 분노"
잠언 1:31 그러므로 자기 행위의 열매를 먹으며 자기 꾀에 배부르리라,"후회, 좌절, 슬픔"
잠언 1:32 어리석은 자의 퇴보는 자기를 죽이며 미련한 자의 안일은 자기를 멸망시키려니와,"무기력함, 교만, 후회"
잠언 1:33 오직 내 말을 듣는 자는 평안히 살며 재앙의 두려움이 없이 안전하리라,"평안, 희망, 불안, 두려움"
잠언 2:1 내 아들아 네가 만일 나의 말을 받으며 나의 계명을 네게 간직하며,"지혜추구, 희망, 겸손"
잠언 2:2 네 귀를 지혜에 기울이며 네 마음을 명철에 두며,"지혜추구, 무기력함, 희망"
잠언 2:3 지식을 불러 구하며 명철을 얻으려고 소리를 높이며,"좌절, 지혜추구, 희망"
잠언 2:4 은을 구하는 것 같이 그것을 구하며 감추어진 보배를 찾는 것 같이 그것을 찾으면,"희망, 지혜추구, 무기력함"
잠언 2:5 여호와 경외하기를 깨달으며 하나님을 알게 되리니,"두려움, 희망, 평안"
잠언 2:6 대저 여호와는 지혜를 주시며 지식과 명철을 그 입에서 내심이며,"희망, 감사, 지혜추구"
잠언 2:7 그는 정직한 자를 위하여 완전한 지혜를 예비하시며 행실이 온전한 자에게 방패가 되시나니,"불안, 두려움, 희망, 평안"
잠언 2:8 대저 그는 정의의 길을 보호하며 그의 성도들의 길을 보전하려 하심이니라,"불안, 두려움, 평안"
잠언 2:9 그런즉 네가 공의와 정의와 정직 곧 모든 선한 길을 깨달을 것이라,"후회, 희망, 지혜추구"
잠언 2:10 곧 지혜가 네 마음에 들어가며 지식이 네 영혼을 즐겁게 할 것이요,"무기력함, 슬픔, 기쁨, 희망"
잠언 2:11 근신이 너를 지키며 명철이 너를 보호하여,"불안, 두려움, 평안"
잠언 2:12 악한 자의 길과 패역을 말하는 자에게서 건져내리라,"두려움, 불안, 분노"
잠언 2:13 이 무리는 정직한 길을 떠나 어두운 길로 행하며,"후회, 두려움, 슬픔"
잠언 2:14 행악하기를 기뻐하며 악인의 패역을 즐거워하나니,"분노, 후회, 두려움"
잠언 2:15 그 길은 구부러지고 그 행위는 패역하니라,"후회, 좌절, 분노"
"잠언 2:16 지혜가 또 너를 음녀에게서, 말로 호리는 이방 계집에게서 구원하리니","유혹, 후회, 불안"
잠언 2:17 그는 젊은 시절의 짝을 버리며 그의 하나님의 언약을 잊어버린 자라,"후회, 외로움, 슬픔"
"잠언 2:18 그의 집은 사망으로, 그의 길은 스올로 기울어졌나니","두려움, 후회, 슬픔"
잠언 2:19 누구든지 그에게로 가는 자는 돌아오지 못하며 또 생명 길을 얻지 못하느니라,"두려움, 후회, 절망"
잠언 2:20 지혜가 너를 선한 자의 길로 행하게 하며 또 의인의 길을 지키게 하리니,"희망, 평안, 지혜추구"
잠언 2:21 대저 정직한 자는 땅에 거하며 완전한 자는 땅에 남아 있으리라,"희망, 평안, 감사"
잠언 2:22 그러나 악인은 땅에서 끊어지겠고 간사한 자는 땅에서 뽑히리라,"두려움, 후회, 불안"
잠언 3:1 내 아들아 나의 법을 잊어버리지 말고 네 마음으로 나의 명령을 지키라,"무기력함, 후회, 지혜추구"
잠언 3:2 그리하면 그것이 네가 장수하여 많은 해를 누리게 하며 평강을 더하게 하리라,"불안, 두려움, 희망, 평안"
잠언 3:3 인자와 진리가 네게서 떠나지 말게 하고 그것을 네 목에 매며 네 마음판에 새기라,"외로움, 후회, 지혜추구"
잠언 3:4 그리하면 네가 하나님과 사람 앞에서 은총과 귀중히 여김을 받으리라,"외로움, 좌절, 희망"
잠언 3:5 너는 마음을 다하여 여호와를 신뢰하고 네 명철을 의지하지 말라,"불안, 두려움, 교만, 평안"
잠언 3:6 너는 범사에 그를 인정하라 그리하면 네 길을 지도하시리라,"불안, 좌절, 희망, 평안"
